id,title,release_date,release_year,release_month,popularity,vote_average,vote_count,genres,original_language,overview
83533,Avatar: Fire and Ash,2025-12-17,2025,12,437.4182,7.373,2421,"Sci-Fi, Äventyr, Fantasy",en,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits."
1226863,The Super Mario Galaxy Movie,2026-04-01,2026,4,294.0076,6.937,294,"Animerat, Äventyr, Fantasy, Familj, Komedi, Sci-Fi",en,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade."
502356,The Super Mario Bros. Movie,2023-04-05,2023,4,203.275,7.587,10443,"Familj, Komedi, Äventyr, Animerat, Fantasy",en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi."
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,2025,7,130.3975,7.67,780,"Animerat, Action, Fantasy",ja,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins."
1159831,The Bride!,2026-03-04,2026,3,191.4115,6.322,228,"Sci-Fi, Skräck, Fantasy",en,A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.
1539104,JUJUTSU KAISEN: Execution,2025-11-07,2025,11,60.4784,5.918,91,"Animerat, Action, Fantasy",ja,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc."
803796,KPop Demon Hunters,2025-06-20,2025,6,49.0864,8.028,2612,"Fantasy, 10402, Komedi, Animerat",en,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats."
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,2025,12,44.407,6.722,259,"Animerat, Familj, Komedi, Äventyr, Fantasy",en,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before."
1246049,Dracula,2025-07-30,2025,7,38.8414,7.09,1050,"Skräck, Fantasy, 10749",fr,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death."
1117857,In Your Dreams,2025-11-07,2025,11,41.687,6.953,200,"Animerat, Familj, Komedi, Äventyr, Fantasy",en,Stevie and her little brother Elliot journey into the wildly absurd landscape of their own dreams to ask the Sandman to grant them the perfect family.
402431,Wicked,2024-10-16,2024,10,39.3321,6.912,2950,"Drama, 10749, Fantasy",en,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West."
129,Spirited Away,2001-07-20,2001,7,32.4806,8.534,18141,"Animerat, Familj, Fantasy",ja,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
1011985,Kung Fu Panda 4,2024-03-02,2024,3,38.6688,7.002,3437,"Animerat, Familj, Action, Komedi, Äventyr, Fantasy",en,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past."
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,2025,9,36.5064,8.325,786,"Animerat, Action, 10749, Fantasy",ja,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules."
671,Harry Potter and the Philosopher's Stone,2001-11-16,2001,11,35.3275,7.897,29362,"Äventyr, Fantasy",en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame."
1180831,Troll 2,2025-11-30,2025,11,34.4158,6.415,454,"Action, Fantasy, 53",no,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet."
950387,A Minecraft Movie,2025-03-31,2025,3,33.9004,6.268,2905,"Familj, Fantasy, Komedi, Äventyr",en,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve."
1087192,How to Train Your Dragon,2025-06-06,2025,6,35.622,7.9,2706,"Fantasy, Familj, Action, Äventyr",en,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society."
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,2001,12,31.3674,8.43,27285,"Äventyr, Fantasy, Action",en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
1241982,Moana 2,2024-11-21,2024,11,29.2512,6.996,3009,"Animerat, Äventyr, Familj, Komedi, Fantasy",en,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
